Date,Production KPC (kt),Fuel Gas (Mscm),Raw Gas to OGP (Mscm),Gas Injection (Mscm),Budget prod. KPC (kt),Ambient Temperature
01/01/2021,31.64990416,2.41843,29.610258,27.767528,30.92414154,-12.95262051
02/01/2021,31.7455756,2.420119,29.990758,28.517146,30.92414154,-13.60112953
03/01/2021,31.75959112,2.390798,30.182743,27.880382,30.92414154,-10.12970161
04/01/2021,31.84761344,2.374983,30.148289,27.873552,30.92414154,-7.039749622
05/01/2021,31.72960306,2.39026,30.213177,27.880494,30.92414154,-15.8152132
06/01/2021,31.54172186,2.390323,30.124967,27.902276,30.92414154,-19.05775452
07/01/2021,31.40490946,2.381643,30.117646,28.0448,30.92414154,-16.38742638
08/01/2021,31.56327802,2.396861,30.212237,28.140388,30.92414154,-8.641946793
09/01/2021,31.592478,2.395783,30.181087,28.224288,30.92414154,-5.513847351
10/01/2021,31.606733,2.383394,30.238244,28.196854,30.92414154,-1.43053329
11/01/2021,31.70148,2.354976,30.338919,28.15096,30.92414154,-2.765697718
12/01/2021,31.789376,2.403188,30.278389,28.073118,30.92414154,-23.29213333
13/01/2021,31.691421,2.402704,30.241273,28.055996,30.92414154,-15.62447548
14/01/2021,31.29876699,2.409964,30.252645,28.073894,30.92414154,-12.45670223
15/01/2021,31.63293074,2.353621,30.252315,28.098298,29.66414154,-6.276798725
16/01/2021,31.35762718,2.376104,30.154744,28.206858,30.92414154,-8.260471344
17/01/2021,31.48235315,2.388781,30.385057,28.14979,30.92414154,-16.69260788
18/01/2021,31.43156796,2.38869,29.939004,28.144424,30.92414154,-19.05775452
19/01/2021,31.4,2.416461,28.99223,29.434854,30.92414154,-9.557488441
20/01/2021,31.44936988,2.431333,28.929741,29.423034,30.92414154,-17.30296707
21/01/2021,31.43846305,2.44726,28.818105,29.306242,30.92414154,-24.3984127
22/01/2021,31.6953082,2.446555,29.018853,29.306344,30.92414154,-14.89814568
23/01/2021,31.37775913,2.420637,29.589529,28.598002,30.92414154,-13.94445705
24/01/2021,31.64208224,2.374873,30.019701,28.22559,30.92414154,0.362401754
25/01/2021,31.61207738,2.374276,30.078063,28.22862,30.92414154,-3.032730579
26/01/2021,31.35006975,2.376552,30.015817,28.108032,30.92414154,-11.99893188
27/01/2021,31.5780128,2.384965,29.949525,28.105974,30.92414154,-7.840848446
28/01/2021,31.3765444,2.393677,29.905789,27.905834,30.92414154,-11.73189926
29/01/2021,31.64258849,2.384242,30.045897,28.267942,30.92414154,-3.185320854
30/01/2021,31.60953467,2.374522,29.940842,28.165398,30.92414154,-1.583123565
31/01/2021,31.49736843,2.390524,29.910671,28.200736,18.56379987,-4.177157402
01/02/2021,30.907462,2.404593,27.46327,28.830634,30.74243536,-2.956435442
02/02/2021,30.74696205,2.416846,27.410016,29.10665,30.74243536,-1.812008858
03/02/2021,31.38647411,2.389452,29.72855,28.720326,30.74243536,0.247959092
04/02/2021,31.54556398,2.384921,29.80301,28.251798,30.74243536,1.010910153
05/02/2021,31.56526584,2.383295,29.860646,28.201592,30.71561624,1.468680859
06/02/2021,31.45449388,2.416095,29.89709,28.169434,30.71561624,-3.604943991
07/02/2021,31.67202812,2.44958,29.886708,28.341904,30.71561624,-11.73189926
08/02/2021,31.79819486,2.445766,29.941641,28.295086,30.71561624,-20.12588692
09/02/2021,31.88170618,2.441923,30.127817,28.157658,30.74243536,-24.28396988
10/02/2021,31.92548522,2.423107,30.228508,28.124268,30.74243536,-15.24300003
11/02/2021,31.45279969,2.397727,29.830135,28.307492,30.74243536,-2.68940258
12/02/2021,31.59660634,2.383065,29.980868,28.2809,30.74243536,0.553139508
13/02/2021,31.82302448,2.384802,29.761818,28.32982,30.74243536,-1.316090703
14/02/2021,31.71085781,2.403082,29.80951,28.358558,30.74243536,-5.05482626
15/02/2021,31.5700195,2.42237,29.802634,28.392454,30.74243536,-14.51667023
16/02/2021,31.7723175,2.43193,29.815956,28.257702,30.74243536,-19.93514824
17/02/2021,31.77148728,2.422766,29.981381,28.272702,30.74243536,-17.15037727
18/02/2021,31.27742548,2.389324,29.898494,26.80388,30.74243536,-13.10521126
19/02/2021,31.00030344,2.429963,29.765671,26.781974,30.74243536,-18.75257492
20/02/2021,31.80745885,2.429902,29.969843,28.25816,30.74243536,-21.68993759
21/02/2021,30.91486305,2.432395,29.935127,27.222058,30.74243536,-24.24582291
22/02/2021,31.57038615,2.447684,30.254791,28.117906,30.74243536,-16.8070488
23/02/2021,30.20907255,2.559635,29.388485,24.639388,30.74243536,-26.15472603
24/02/2021,29.51459515,2.500353,26.785914,26.879098,30.74243536,-23.48287201
25/02/2021,31.51857397,2.507927,29.895739,27.984794,30.74243536,-23.36842918
26/02/2021,31.60721817,2.497455,29.999897,28.167338,30.74243536,-12.95262051
27/02/2021,31.40713152,2.441094,29.833524,28.139714,30.74243536,-2.765697718
28/02/2021,30.0825027,2.42079,29.96739,28.327934,30.74243536,-8.06973362
01/03/2021,31.44830429,2.444556,29.952805,28.421044,31.69060798,-9.442420006
02/03/2021,31.4586622,2.461011,30.20094,28.377608,31.69060798,-12.87632561
03/03/2021,31.34525924,2.494465,31.246544,26.98092,31.69060798,-0.743877351
04/03/2021,31.31132918,2.439193,29.920662,28.017404,31.69060798,-7.917143345
05/03/2021,31.26214602,2.4221,29.995498,28.137028,31.69060798,-0.934615076
06/03/2021,31.31320463,2.419158,29.815395,28.292218,31.69060798,-3.528648853
07/03/2021,31.46835213,2.45485,29.78702,28.37448,31.69060798,-9.40489769
08/03/2021,31.137466,2.463627,28.613237,28.63981,31.69060798,-4.520485401
09/03/2021,30.484077,2.434743,26.683794,29.036396,31.69060798,-1.73571372
10/03/2021,30.568314,2.470707,27.029347,29.388564,31.69060798,-9.977111816
11/03/2021,31.329467,2.462073,27.823629,29.902534,31.69060798,-19.43923187
12/03/2021,31.385818,2.369144,28.452062,29.769646,31.69060798,-18.52368927
13/03/2021,31.1738124,2.494733,28.449223,29.132562,31.69060798,-17.03466225
14/03/2021,28.60990096,2.173146,28.133803,21.703458,31.69060798,-14.2496376
15/03/2021,28.51937856,2.154882,27.916422,21.804754,31.69060798,-16.53874397
16/03/2021,28.50926518,2.157872,27.432884,22.191312,31.69060798,-14.70740795
17/03/2021,28.06339383,2.153801,26.898269,22.072838,31.69060798,-11.08339024
18/03/2021,30.168303,2.411609,26.414054,29.098686,31.69060798,-1.697566152
19/03/2021,31.14759423,2.382707,27.787591,30.173176,31.69060798,0.209811538
20/03/2021,31.05918773,2.380015,28.13716,29.278966,31.69060798,-0.55377537
21/03/2021,31.34466257,2.40611,28.079487,30.000294,31.69060798,0.171663985
22/03/2021,31.58321522,2.433137,27.992882,30.002548,31.69060798,-1.621271133
23/03/2021,31.19646824,2.44446,27.701658,30.106374,31.69060798,-0.133516461
24/03/2021,30.28398858,2.438051,23.990878,30.274902,31.69060798,1.850156426
25/03/2021,29.271835,2.435878,19.674964,30.512606,31.69060798,-2.803845167
26/03/2021,28.450943,2.362289,19.113891,30.4181,31.69060798,-0.629434645
27/03/2021,28.09035158,2.323411,18.638787,29.97569,31.69060798,0.133516431
28/03/2021,28.29427248,2.349387,19.283523,30.339942,30.52060798,2.651255131
29/03/2021,28.64621404,2.378452,19.079634,30.795792,31.69060798,0.667582214
30/03/2021,28.4498896,2.3786,19.101965,30.746356,31.69060798,-2.992675781
31/03/2021,28.4914363,2.374632,19.031539,30.834294,31.69060798,-2.117189407
01/04/2021,28.2993675,2.351725,19.027612,30.351932,26.20416932,0.47684443
02/04/2021,28.20355659,2.329802,19.129355,30.1884,26.20416932,2.727550268
03/04/2021,28.09148231,2.323474,19.131706,30.009712,26.20416932,1.392385721
04/04/2021,28.06213865,2.302475,19.098376,29.85662,26.20416932,2.803845167
05/04/2021,27.94601021,2.310348,19.147878,29.968166,26.20416932,4.177157402
06/04/2021,28.07411616,2.308046,19.053999,29.848356,26.20416932,3.871976852
07/04/2021,28.0271872,2.313569,19.207761,29.668856,26.20416932,2.803845167
08/04/2021,28.13130718,2.300991,19.155586,29.575068,26.20416932,5.208667278
09/04/2021,28.0726013,2.278879,19.268794,29.142004,26.20416932,11.92263699
10/04/2021,27.6640304,2.263064,19.124285,28.621192,26.20416932,15.66262341
11/04/2021,28.76655328,2.29144,22.846542,28.855274,26.20416932,13.98324108
12/04/2021,31.33208752,2.374338,27.038379,29.12263,26.20416932,13.44853878
13/04/2021,30.60582012,2.322313,27.098119,27.17349,26.20416932,14.21148968
14/04/2021,29.13163956,2.275596,26.883024,25.78206,26.09016932,14.4022274
15/04/2021,30.77726056,2.319166,27.28348,28.402548,26.43800073,17.22667313
16/04/2021,30.34474806,2.316707,27.355641,28.50209,26.43800073,16.80830002
17/04/2021,28.2246555,2.118008,27.286508,23.200572,26.09016932,16.19668961
18/04/2021,25.28632308,1.87933,22.448927,16.815802,20.56922196,15.05073643
19/04/2021,9.8673186,0.130383,13.962814,0,0,7.154192448
20/04/2021,11.80050793,0.200014,17.137105,0,0,5.399405003
21/04/2021,13.17861129,0.695967,17.638296,0,6.346280472,9.328602791
22/04/2021,15.471559,1.442305,17.340224,5.1078685,12.69256094,13.21965313
